Teams	1	2	T	Field Goal %	Three Point %	Free Throw %	Rebounds	Offensive Rebounds	Defensive Rebounds	Assists	Steals	Blocks	Total Turnovers	Fouls	Technical Fouls	Flagrant Fouls	Largest Lead	Line	Favored Team	Spread	Teams Alt	OT
HAMP	-38.0	-10.0	-48.0	-28.300000000000004	-26.4	-28.200000000000003	-23.0	-2.0	-21.0	-10.0	-4.0	-5.0	0.0	3.0	0.0	0.0	-53.0	Line: JMU -16.0	JMU	16.0	Hampton Pirates	
JMU	38.0	10.0	48.0	28.300000000000004	26.4	28.200000000000003	23.0	2.0	21.0	10.0	4.0	5.0	0.0	-3.0	0.0	0.0	53.0	Line: JMU -16.0	JMU	-16.0	James Madison Dukes	
UTM	-8.0	-10.0	-18.0	1.6000000000000014	-3.1000000000000014	-23.299999999999997	-5.0	-6.0	1.0	1.0	-1.0	2.0	6.0	6.0	1.0	0.0	-18.0	Line: YSU -8.5	YSU	8.5	UT Martin Skyhawks	
YSU	8.0	10.0	18.0	-1.6000000000000014	3.1000000000000014	23.299999999999997	5.0	6.0	-1.0	-1.0	1.0	-2.0	-6.0	-6.0	-1.0	0.0	18.0	Line: YSU -8.5	YSU	-8.5	Youngstown State Penguins	
IUPU	-23.0	-9.0	-32.0	-25.9	-23.299999999999997	-32.1	-10.0	7.0	-17.0	-3.0	-2.0	-5.0	-4.0	-4.0	0.0	0.0	-33.0	Line: DRKE -27.5	DRKE	27.5	IUPUI Jaguars	
DRKE	23.0	9.0	32.0	25.9	23.299999999999997	32.1	10.0	-7.0	17.0	3.0	2.0	5.0	4.0	4.0	0.0	0.0	33.0	Line: DRKE -27.5	DRKE	-27.5	Drake Bulldogs	
KC	-7.0	-4.0	-11.0	-9.300000000000004	-22.1	8.599999999999994	-7.0	-2.0	-5.0	-4.0	-5.0	-3.0	1.0	-3.0	0.0	0.0	-16.0	Line: LSU -23.0	LSU	23.0	Kansas City Roos	
LSU	7.0	4.0	11.0	9.300000000000004	22.1	-8.599999999999994	7.0	2.0	5.0	4.0	5.0	3.0	-1.0	3.0	0.0	0.0	16.0	Line: LSU -23.0	LSU	-23.0	LSU Tigers	
LIP	7.0	-15.0	-8.0	-3.8999999999999986	-17.1	-11.900000000000006	-10.0	-2.0	-8.0	2.0	2.0	5.0	-4.0	4.0	0.0	0.0	3.0	Line: SDAK -6.0	SDAK	6.0	Lipscomb Bisons	
SDAK	-7.0	15.0	8.0	3.8999999999999986	17.1	11.900000000000006	10.0	2.0	8.0	-2.0	-2.0	-5.0	4.0	-4.0	0.0	0.0	-3.0	Line: SDAK -6.0	SDAK	-6.0	South Dakota Coyotes	
MONM	-19.0	-8.0	-27.0	-15.499999999999996	-24.799999999999997	7.700000000000003	-4.0	0.0	-4.0	-6.0	-5.0	-2.0	3.0	1.0	0.0	0.0	-30.0	Line: HALL -19.5	HALL	19.5	Monmouth Hawks	
HALL	19.0	8.0	27.0	15.499999999999996	24.799999999999997	-7.700000000000003	4.0	0.0	4.0	6.0	5.0	2.0	-3.0	-1.0	0.0	0.0	30.0	Line: HALL -19.5	HALL	-19.5	Seton Hall Pirates	
SDST	5.0	-3.0	2.0	1.5	17.799999999999997	-1.0999999999999943	-6.0	-4.0	-2.0	2.0	-6.0	2.0	5.0	-2.0	0.0	0.0	11.0	Line: BOIS -6.5	BOIS	6.5	South Dakota State Jackrabbits	
BOIS	-5.0	3.0	-2.0	-1.5	-17.799999999999997	1.0999999999999943	6.0	4.0	2.0	-2.0	6.0	-2.0	-5.0	2.0	0.0	0.0	-11.0	Line: BOIS -6.5	BOIS	-6.5	Boise State Broncos	
BELL	11.0	-10.0	1.0	6.5	7.400000000000006	3.200000000000003	-6.0	-7.0	1.0	-3.0	0.0	-2.0	-2.0	-4.0	0.0	0.0	6.0	Line: LOU -7.5	LOU	7.5	Bellarmine Knights	
LOU	-11.0	10.0	-1.0	-6.5	-7.400000000000006	-3.200000000000003	6.0	7.0	-1.0	3.0	0.0	2.0	2.0	4.0	0.0	0.0	-6.0	Line: LOU -7.5	LOU	-7.5	Louisville Cardinals	
FGCU	-5.0	-1.0	-6.0	-7.299999999999997	3.1000000000000014	4.200000000000003	-4.0	-2.0	-2.0	3.0	-2.0	-2.0	2.0	1.0	2.0	0.0	-6.0	Line: USD -4.5	USD	4.5	Florida Gulf Coast Eagles	
USD	5.0	1.0	6.0	7.299999999999997	-3.1000000000000014	-4.200000000000003	4.0	2.0	2.0	-3.0	2.0	2.0	-2.0	-1.0	-2.0	0.0	6.0	Line: USD -4.5	USD	-4.5	San Diego Toreros	
FAMU	-21.0	-16.0	-37.0	-24.9	-15.700000000000003	-0.5999999999999943	-16.0	-3.0	-13.0	-12.0	6.0	0.0	0.0	9.0	1.0	0.0	-41.0	Line: PORT -23.5	PORT	23.5	Florida A&M Rattlers	
PORT	21.0	16.0	37.0	24.9	15.700000000000003	0.5999999999999943	16.0	3.0	13.0	12.0	-6.0	0.0	0.0	-9.0	-1.0	0.0	41.0	Line: PORT -23.5	PORT	-23.5	Portland Pilots	
