"","teams","opponent","h1","h2","t","fieldGoal","threePoint","freeThrow","rebounds","offensiveRebounds","defensiveRebounds","assists","steals","blocks","totalTurnovers","fouls","technicalFouls","flagrantFouls","largestLead","line","favoredTeam","spread","teamsAlt","ot","covered","coverHist","favored","gameIndex","coverDiff","coverDiffHist","avgH1Hist","avgH2Hist","avgTHist","avgFieldGoalHist","avgThreePointHist","avgFreeThrowHist","avgReboundHist","avgOffensiveReboundsHist","avgDefensiveReboundsHist","avgAssistsHist","avgStealsHist","avgBlocksHist","avgTotalTurnoversHist","avgFoulsHist","avgSpreadHist"
"103","COLU","RUTG",-10,-30,-40,-19.7,-35.2,18.8,-8,-7,-1,-17,-9,-1,14,-1,0,0,-43,"Line: RUTG -18.5","RUTG",18.5,"Columbia Lions",NA,0,NA,0,52,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","RUTG","COLU",10,30,40,19.7,35.2,-18.8,8,7,1,17,9,1,-14,1,0,0,43,"Line: RUTG -18.5","RUTG",-18.5,"Rutgers Scarlet Knights",NA,1,NA,1,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","WIN","PSU",-12,-13,-25,-10.1,-3.4,23.7,-6,-3,-3,-12,-1,-2,6,-3,0,0,-25,"Line: PSU -13.5","PSU",13.5,"Winthrop Eagles",NA,0,NA,0,53,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","PSU","WIN",12,13,25,10.1,3.4,-23.7,6,3,3,12,1,2,-6,3,0,0,25,"Line: PSU -13.5","PSU",-13.5,"Penn State Nittany Lions",NA,1,NA,1,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","RMU","OSU",-14,-24,-38,-24,-30.9,-9,-21,-1,-20,-12,-1,-4,-3,2,0,0,-38,"Line: OSU -20.5","OSU",20.5,"Robert Morris Colonials",NA,0,NA,0,54,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","OSU","RMU",14,24,38,24,30.9,9,21,1,20,12,1,4,3,-2,0,0,38,"Line: OSU -20.5","OSU",-20.5,"Ohio State Buckeyes",NA,1,NA,1,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","NIA","MD",-7,-15,-22,-9,-45,-23.2,-4,2,-6,1,-6,-5,2,-2,0,0,-21,"Line: MD -17.0","MD",17,"Niagara Purple Eagles",NA,0,NA,0,55,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","MD","NIA",7,15,22,9,45,23.2,4,-2,6,-1,6,5,-2,2,0,0,21,"Line: MD -17.0","MD",-17,"Maryland Terrapins",NA,1,NA,1,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","BCU","IOWA",-19,-12,-31,-15.9,-2,28.6,-11,-1,-10,-14,-4,-3,5,4,0,0,-35,"Line: IOWA -28.5","IOWA",28.5,"Bethune-Cookman Wildcats",NA,0,NA,0,56,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","IOWA","BCU",19,12,31,15.9,2,-28.6,11,1,10,14,4,3,-5,-4,0,0,35,"Line: IOWA -28.5","IOWA",-28.5,"Iowa Hawkeyes",NA,1,NA,1,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
